name,alpha.3,actual
Afghanistan,AFG,Afghanistan
Ã…land Islands,ALA,
Albania,ALB,Albania
Algeria,DZA,Algeria
American Samoa,ASM,American Samoa
Andorra,AND,Andorra
Angola,AGO,Angola
Anguilla,AIA,
Antarctica,ATA,
Antigua and Barbuda,ATG,Antigua and Barbuda
Argentina,ARG,Argentina
Armenia,ARM,Armenia
Aruba,ABW,
Australia,AUS,Australia
Austria,AUT,Austria
Azerbaijan,AZE,Azerbaijan
Bahamas,BHS,Bahamas
Bahrain,BHR,Bahrain
Bangladesh,BGD,Bangladesh
Barbados,BRB,Barbados
Belarus,BLR,Belarus
Belgium,BEL,Belgium
Belize,BLZ,Belize
Benin,BEN,Benin
Bermuda,BMU,Bermuda
Bhutan,BTN,Bhutan
Bolivia (Plurinational State of),BOL,Bolivia (Plurinational State of)
"Bonaire, Sint Eustatius and Saba",BES,
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
Botswana,BWA,Botswana
Bouvet Island,BVT,
Brazil,BRA,Brazil
British Indian Ocean Territory,IOT,
Brunei Darussalam,BRN,Brunei Darussalam
Bulgaria,BGR,Bulgaria
Burkina Faso,BFA,Burkina Faso
Burundi,BDI,Burundi
Cabo Verde,CPV,Cabo Verde
Cambodia,KHM,Cambodia
Cameroon,CMR,Cameroon
Canada,CAN,Canada
Cayman Islands,CYM,
Central African Republic,CAF,Central African Republic
Chad,TCD,Chad
Chile,CHL,Chile
China,CHN,China
Christmas Island,CXR,
Cocos (Keeling) Islands,CCK,
Colombia,COL,Colombia
Comoros,COM,Comoros
Congo,COG,Congo
"Congo, Democratic Republic of the",COD,Democratic Republic of the Congo
Cook Islands,COK,Cook Islands
Costa Rica,CRI,Costa Rica
CÃ´te d'Ivoire,CIV,CÃ´te d'Ivoire
Croatia,HRV,Croatia
Cuba,CUB,Cuba
CuraÃ§ao,CUW,
Cyprus,CYP,Cyprus
Czechia,CZE,Czechia
Denmark,DNK,Denmark
Djibouti,DJI,Djibouti
Dominica,DMA,Dominica
Dominican Republic,DOM,Dominican Republic
Ecuador,ECU,Ecuador
Egypt,EGY,Egypt
El Salvador,SLV,El Salvador
Equatorial Guinea,GNQ,Equatorial Guinea
Eritrea,ERI,Eritrea
Estonia,EST,Estonia
Eswatini,SWZ,Eswatini
Ethiopia,ETH,Ethiopia
Falkland Islands (Malvinas),FLK,
Faroe Islands,FRO,
Fiji,FJI,Fiji
Finland,FIN,Finland
France,FRA,France
French Guiana,GUF,
French Polynesia,PYF,
French Southern Territories,ATF,
Gabon,GAB,Gabon
Gambia,GMB,Gambia
Georgia,GEO,Georgia
Germany,DEU,Germany
Ghana,GHA,Ghana
Gibraltar,GIB,
Greece,GRC,Greece
Greenland,GRL,Greenland
Grenada,GRD,Grenada
Guadeloupe,GLP,
Guam,GUM,Guam
Guatemala,GTM,Guatemala
Guernsey,GGY,
Guinea,GIN,Guinea
Guinea-Bissau,GNB,Guinea-Bissau
Guyana,GUY,Guyana
Haiti,HTI,Haiti
Heard Island and McDonald Islands,HMD,
Holy See,VAT,
Honduras,HND,Honduras
Hong Kong,HKG,
Hungary,HUN,Hungary
Iceland,ISL,Iceland
India,IND,India
Indonesia,IDN,Indonesia
Iran (Islamic Republic of),IRN,Iran (Islamic Republic of)
Iraq,IRQ,Iraq
Ireland,IRL,Ireland
Isle of Man,IMN,
Israel,ISR,Israel
Italy,ITA,Italy
Jamaica,JAM,Jamaica
Japan,JPN,Japan
Jersey,JEY,
Jordan,JOR,Jordan
Kazakhstan,KAZ,Kazakhstan
Kenya,KEN,Kenya
Kiribati,KIR,Kiribati
Korea (Democratic People's Republic of),PRK,Democratic People's Republic of Korea
"Korea, Republic of",KOR,Republic of Korea
Kuwait,KWT,Kuwait
Kyrgyzstan,KGZ,Kyrgyzstan
Lao People's Democratic Republic,LAO,Lao People's Democratic Republic
Latvia,LVA,Latvia
Lebanon,LBN,Lebanon
Lesotho,LSO,Lesotho
Liberia,LBR,Liberia
Libya,LBY,Libya
Liechtenstein,LIE,
Lithuania,LTU,Lithuania
Luxembourg,LUX,Luxembourg
Macao,MAC,
Madagascar,MDG,Madagascar
Malawi,MWI,Malawi
Malaysia,MYS,Malaysia
Maldives,MDV,Maldives
Mali,MLI,Mali
Malta,MLT,Malta
Marshall Islands,MHL,Marshall Islands
Martinique,MTQ,
Mauritania,MRT,Mauritania
Mauritius,MUS,Mauritius
Mayotte,MYT,
Mexico,MEX,Mexico
Micronesia (Federated States of),FSM,Micronesia (Federated States of)
"Moldova, Republic of",MDA,Republic of Moldova
Monaco,MCO,Monaco
Mongolia,MNG,Mongolia
Montenegro,MNE,Montenegro
Montserrat,MSR,
Morocco,MAR,Morocco
Mozambique,MOZ,Mozambique
Myanmar,MMR,Myanmar
Namibia,NAM,Namibia
Nauru,NRU,Nauru
Nepal,NPL,Nepal
Netherlands,NLD,Netherlands
New Caledonia,NCL,
New Zealand,NZL,New Zealand
Nicaragua,NIC,Nicaragua
Niger,NER,Niger
Nigeria,NGA,Nigeria
Niue,NIU,Niue
Norfolk Island,NFK,
North Macedonia,MKD,North Macedonia
Northern Mariana Islands,MNP,Northern Mariana Islands
Norway,NOR,Norway
Oman,OMN,Oman
Pakistan,PAK,Pakistan
Palau,PLW,Palau
"Palestine, State of",PSE,Palestine
Panama,PAN,Panama
Papua New Guinea,PNG,Papua New Guinea
Paraguay,PRY,Paraguay
Peru,PER,Peru
Philippines,PHL,Philippines
Pitcairn,PCN,
Poland,POL,Poland
Portugal,PRT,Portugal
Puerto Rico,PRI,Puerto Rico
Qatar,QAT,Qatar
RÃ©union,REU,
Romania,ROU,Romania
Russian Federation,RUS,Russian Federation
Rwanda,RWA,Rwanda
Saint BarthÃ©lemy,BLM,
"Saint Helena, Ascension and Tristan da Cunha",SHN,
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis
Saint Lucia,LCA,Saint Lucia
Saint Martin (French part),MAF,
Saint Pierre and Miquelon,SPM,
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines
Samoa,WSM,Samoa
San Marino,SMR,San Marino
Sao Tome and Principe,STP,Sao Tome and Principe
Saudi Arabia,SAU,Saudi Arabia
Senegal,SEN,Senegal
Serbia,SRB,Serbia
Seychelles,SYC,Seychelles
Sierra Leone,SLE,Sierra Leone
Singapore,SGP,Singapore
Sint Maarten (Dutch part),SXM,
Slovakia,SVK,Slovakia
Slovenia,SVN,Slovenia
Solomon Islands,SLB,Solomon Islands
Somalia,SOM,Somalia
South Africa,ZAF,South Africa
South Georgia and the South Sandwich Islands,SGS,
South Sudan,SSD,South Sudan
Spain,ESP,Spain
Sri Lanka,LKA,Sri Lanka
Sudan,SDN,Sudan
Suriname,SUR,Suriname
Svalbard and Jan Mayen,SJM,
Sweden,SWE,Sweden
Switzerland,CHE,Switzerland
Syrian Arab Republic,SYR,Syrian Arab Republic
"Taiwan, Province of China",TWN,Taiwan (Province of China)
Tajikistan,TJK,Tajikistan
"Tanzania, United Republic of",TZA,United Republic of Tanzania
Thailand,THA,Thailand
Timor-Leste,TLS,Timor-Leste
Togo,TGO,Togo
Tokelau,TKL,Tokelau
Tonga,TON,Tonga
Trinidad and Tobago,TTO,Trinidad and Tobago
Tunisia,TUN,Tunisia
Turkey,TUR,Turkey
Turkmenistan,TKM,Turkmenistan
Turks and Caicos Islands,TCA,
Tuvalu,TUV,Tuvalu
Uganda,UGA,Uganda
Ukraine,UKR,Ukraine
United Arab Emirates,ARE,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom
United States of America,USA,United States of America
United States Minor Outlying Islands,UMI,
Uruguay,URY,Uruguay
Uzbekistan,UZB,Uzbekistan
Vanuatu,VUT,Vanuatu
Venezuela (Bolivarian Republic of),VEN,Venezuela (Bolivarian Republic of)
Viet Nam,VNM,Viet Nam
Virgin Islands (British),VGB,
Virgin Islands (U.S.),VIR,United States Virgin Islands
Wallis and Futuna,WLF,
Western Sahara,ESH,
Yemen,YEM,Yemen
Zambia,ZMB,Zambia
Zimbabwe,ZWE,Zimbabwe
