measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Nicaragua,Both,All Ages,Nutritional deficiencies,Percent,1990,0.037008210303203073,0.04702764605477784,0.029188939677845485
DALYs (Disability-Adjusted Life Years),Georgia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.010558342221940123,0.014574170473128052,0.0074748124843987615
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Both,All Ages,Nutritional deficiencies,Percent,1990,0.02604840228476138,0.033472716535919655,0.01964547077754071
DALYs (Disability-Adjusted Life Years),Maldives,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05234297323578042,0.081897330107676,0.03327551631419546
DALYs (Disability-Adjusted Life Years),Belarus,Both,All Ages,Nutritional deficiencies,Percent,1990,0.007248636142616862,0.009876498470590675,0.005223542506052726
DALYs (Disability-Adjusted Life Years),Syrian Arab Republic,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02231937417867237,0.02911257229547291,0.01703672498952453
DALYs (Disability-Adjusted Life Years),Czechia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004833265107170472,0.00701627425656883,0.003231564583594102
DALYs (Disability-Adjusted Life Years),India,Both,All Ages,Nutritional deficiencies,Percent,1990,0.06068739784734676,0.08053819835932827,0.0427366743100715
DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Nutritional deficiencies,Percent,1990,0.016969746988572513,0.020267320752208176,0.014200513048957232
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02178723668742403,0.03175317521949605,0.015189716992640672
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,All Ages,Nutritional deficiencies,Percent,1990,0.04822035046879281,0.0651905084059398,0.0355381823688435
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,All Ages,Nutritional deficiencies,Percent,1990,0.018913283290263753,0.024740089400632343,0.014233744412284343
DALYs (Disability-Adjusted Life Years),Croatia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004463768837514363,0.006402502339036654,0.0029776188528223405
DALYs (Disability-Adjusted Life Years),Panama,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02727438219269313,0.03201848418237913,0.023036964600667568
DALYs (Disability-Adjusted Life Years),Estonia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006561220664600043,0.008692270279325825,0.004777919282983422
DALYs (Disability-Adjusted Life Years),Dominica,Both,All Ages,Nutritional deficiencies,Percent,1990,0.017040391629341158,0.02156913258641265,0.013797229432610596
DALYs (Disability-Adjusted Life Years),Hungary,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0044277394495429185,0.006169920216371718,0.0030068591900758107
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All Ages,Nutritional deficiencies,Percent,1990,0.010685316940731106,0.013717744880210938,0.008394792512961416
DALYs (Disability-Adjusted Life Years),Kazakhstan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.017262407191348483,0.02332163261300952,0.012516218588860895
DALYs (Disability-Adjusted Life Years),Rwanda,Both,All Ages,Nutritional deficiencies,Percent,1990,0.040801079699171815,0.056854694916749535,0.028489934867592406
DALYs (Disability-Adjusted Life Years),Denmark,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004351021696924765,0.005580410074796596,0.003285400970235046
DALYs (Disability-Adjusted Life Years),Republic of Korea,Both,All Ages,Nutritional deficiencies,Percent,1990,0.019786747452718155,0.02647346494988017,0.01444865144267797
DALYs (Disability-Adjusted Life Years),Greenland,Both,All Ages,Nutritional deficiencies,Percent,1990,0.005423552958623085,0.007839198499943311,0.003632250991683977
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Both,All Ages,Nutritional deficiencies,Percent,1990,0.01213204233693085,0.015450203228042464,0.009400745549434653
DALYs (Disability-Adjusted Life Years),Nepal,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05410759116940403,0.07868632861211101,0.036821469984910066
DALYs (Disability-Adjusted Life Years),Tunisia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.010237160418928224,0.013485631744651465,0.007454456910203516
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,All Ages,Nutritional deficiencies,Percent,1990,0.047519510991054274,0.0575429978261135,0.038897883073746274
DALYs (Disability-Adjusted Life Years),Samoa,Both,All Ages,Nutritional deficiencies,Percent,1990,0.019682187611996308,0.0263726401732429,0.014637544325853593
DALYs (Disability-Adjusted Life Years),North Macedonia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.009330893633212897,0.012868402607764362,0.006379637904451231
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0316158154942338,0.03591162659659102,0.027873366404219974
DALYs (Disability-Adjusted Life Years),France,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006851830203143727,0.008283366562354538,0.005476344818029356
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All Ages,Nutritional deficiencies,Percent,1990,0.01824878901620886,0.02141620067926067,0.01580947141596158
DALYs (Disability-Adjusted Life Years),San Marino,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004858219578678252,0.006443175487938653,0.003530761090463635
DALYs (Disability-Adjusted Life Years),Philippines,Both,All Ages,Nutritional deficiencies,Percent,1990,0.026471529587295695,0.03231106136437465,0.021891864179355475
DALYs (Disability-Adjusted Life Years),Japan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.009581395979470097,0.012885011033710928,0.0068711050293900205
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.015257351719254103,0.020558846098422498,0.010705467873078465
DALYs (Disability-Adjusted Life Years),Finland,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004261867567613433,0.005704889982739704,0.003062137548600547
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02501735721384567,0.03745042896850595,0.01596999567685977
DALYs (Disability-Adjusted Life Years),Burundi,Both,All Ages,Nutritional deficiencies,Percent,1990,0.053447745656114536,0.07737426410921835,0.03336520954387427
DALYs (Disability-Adjusted Life Years),Seychelles,Both,All Ages,Nutritional deficiencies,Percent,1990,0.01761530834200703,0.02297190241165922,0.013339420483484236
DALYs (Disability-Adjusted Life Years),Guam,Both,All Ages,Nutritional deficiencies,Percent,1990,0.018785800487842605,0.0251043135942116,0.013742543322730939
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,Nutritional deficiencies,Percent,1990,0.011553837472123164,0.015864175660444842,0.008002956863468323
DALYs (Disability-Adjusted Life Years),Ghana,Both,All Ages,Nutritional deficiencies,Percent,1990,0.041544148068139795,0.05992833847378273,0.02906042637686353
DALYs (Disability-Adjusted Life Years),Solomon Islands,Both,All Ages,Nutritional deficiencies,Percent,1990,0.025042474988886648,0.03321238475511444,0.01865170395109358
DALYs (Disability-Adjusted Life Years),Iraq,Both,All Ages,Nutritional deficiencies,Percent,1990,0.01515506324634552,0.02025089814086708,0.011179201807545868
DALYs (Disability-Adjusted Life Years),Turkey,Both,All Ages,Nutritional deficiencies,Percent,1990,0.015924888410729376,0.0210717204888349,0.011939084693189345
DALYs (Disability-Adjusted Life Years),Germany,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0042330984164589,0.005708601717557213,0.0029818963040921906
DALYs (Disability-Adjusted Life Years),Sri Lanka,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02658420516197902,0.03448865130885525,0.020119636820578643
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,All Ages,Nutritional deficiencies,Percent,1990,0.011885497939019872,0.015772395543477,0.008791689817394066
DALYs (Disability-Adjusted Life Years),Netherlands,Both,All Ages,Nutritional deficiencies,Percent,1990,0.00467325922092966,0.006157988031774697,0.0034336116260306544
DALYs (Disability-Adjusted Life Years),Tokelau,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02723600117994246,0.03582143281920674,0.020460210855829792
DALYs (Disability-Adjusted Life Years),Peru,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03828071485428293,0.04566685394040776,0.03190622366649765
DALYs (Disability-Adjusted Life Years),Canada,Both,All Ages,Nutritional deficiencies,Percent,1990,0.003888391583464453,0.005152309968011176,0.0029058366128431
DALYs (Disability-Adjusted Life Years),Brazil,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0324326080463165,0.03697644838529812,0.02867426388302552
DALYs (Disability-Adjusted Life Years),Latvia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006336080126952857,0.008542284356747884,0.0046057123045922695
DALYs (Disability-Adjusted Life Years),Guinea,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04786254969359066,0.06787528076032223,0.03309477971349056
