"iso3","year","median","varnum","income"
"AFG",1990,92.90246,"01",1
"AFG",1995,73.10628,"01",1
"AFG",2000,65.64265,"01",1
"AFG",2005,59.77151,"01",1
"AFG",2010,74.45087,"01",1
"AFG",2015,98.8148,"01",1
"AFG",2018,77.33674,"01",1
"AFG",1990,180.63379,"02",1
"AFG",1995,129.48296,"02",1
"AFG",2000,143.5506,"02",1
"AFG",2005,181.96136,"02",1
"AFG",2010,172.40762,"02",1
"AFG",2015,122.91884,"02",1
"AFG",2018,108.83379,"02",1
"AFG",1990,53.89621,"03",1
"AFG",1995,28.70013,"03",1
"AFG",2000,24.51537,"03",1
"AFG",2005,29.56055,"03",1
"AFG",2010,12.64448,"03",1
"AFG",2015,13.63556,"03",1
"AFG",2018,17.74372,"03",1
"AFG",1990,9.62315,"04",1
"AFG",1995,11.82696,"04",1
"AFG",2000,12.71491,"04",1
"AFG",2005,10.26665,"04",1
"AFG",2010,10.17345,"04",1
"AFG",2015,8.1462,"04",1
"AFG",2018,8.49216,"04",1
"AFG",1990,119.27529,"05",1
"AFG",1995,103.95481,"05",1
"AFG",2000,62.39629,"05",1
"AFG",2005,87.84437,"05",1
"AFG",2010,153.71242,"05",1
"AFG",2015,145.23769,"05",1
"AFG",2018,142.37623,"05",1
"AFG",1990,10.28012,"06",1
"AFG",1995,5.20869,"06",1
"AFG",2000,3.35699,"06",1
"AFG",2005,3.30106,"06",1
"AFG",2010,19.75742,"06",1
"AFG",2015,3.96368,"06",1
"AFG",2018,39.33832,"06",1
"AFG",1990,689.69172,"07",1
"AFG",1995,708.80927,"07",1
"AFG",2000,712.41101,"07",1
"AFG",2005,707.2786,"07",1
"AFG",2010,637.17169,"07",1
"AFG",2015,433.77047,"07",1
"AFG",2018,421.49748,"07",1
"AFG",1990,188.94391,"08",1
"AFG",1995,167.40682,"08",1
"AFG",2000,89.36965,"08",1
"AFG",2005,61.3956,"08",1
"AFG",2010,66.12615,"08",1
"AFG",2015,55.09021,"08",1
"AFG",2018,51.97295,"08",1
"AFG",1990,2.79859,"09",1
"AFG",1995,2.54062,"09",1
"AFG",2000,2.70761,"09",1
"AFG",2005,2.76732,"09",1
"AFG",2010,2.98813,"09",1
"AFG",2015,3.05931,"09",1
"AFG",2018,2.00521,"09",1
"AFG",1990,36.57748,"10",1
"AFG",1995,23.32245,"10",1
"AFG",2000,22.82392,"10",1
"AFG",2005,16.09436,"10",1
"AFG",2010,14.41961,"10",1
"AFG",2015,10.18229,"10",1
"AFG",2018,7.91146,"10",1
"AFG",1990,3.72744,"11",1
"AFG",1995,3.79185,"11",1
"AFG",2000,3.8714,"11",1
"AFG",2005,3.94673,"11",1
"AFG",2010,4.02276,"11",1
"AFG",2015,3.77539,"11",1
"AFG",2018,3.8006,"11",1
"AFG",1990,2.31879,"12",1
"AFG",1995,1.3919,"12",1
"AFG",2000,1.25585,"12",1
"AFG",2005,1.65867,"12",1
"AFG",2010,2.15134,"12",1
"AFG",2015,3.4664,"12",1
"AFG",2018,2.99342,"12",1
"AFG",1990,0.76788,"13",1
"AFG",1995,0.63638,"13",1
"AFG",2000,0.69755,"13",1
"AFG",2005,0.61441,"13",1
"AFG",2010,0.62238,"13",1
"AFG",2015,0.55624,"13",1
"AFG",2018,0.55317,"13",1
"AFG",1990,15.35542,"14",1
"AFG",1995,15.32177,"14",1
"AFG",2000,16.91687,"14",1
"AFG",2005,16.84527,"14",1
"AFG",2010,17.92119,"14",1
"AFG",2015,14.26721,"14",1
"AFG",2018,14.18258,"14",1
"AFG",1990,2.62275,"15",1
"AFG",1995,1.55386,"15",1
"AFG",2000,1.95371,"15",1
"AFG",2005,16.95929,"15",1
"AFG",2010,39.25557,"15",1
"AFG",2015,27.87405,"15",1
"AFG",2018,33.73358,"15",1
"AFG",1990,0.05076,"16",1
"AFG",1995,0.05807,"16",1
"AFG",2000,0.06667,"16",1
"AFG",2005,0.07398,"16",1
"AFG",2010,0.07751,"16",1
"AFG",2015,0.05137,"16",1
"AFG",2018,0.05315,"16",1
"AFG",1990,1.99399,"17",1
"AFG",1995,2.01582,"17",1
"AFG",2000,1.99589,"17",1
"AFG",2005,2.00936,"17",1
"AFG",2010,1.98173,"17",1
"AFG",2015,1.98934,"17",1
"AFG",2018,2.01981,"17",1
"AFG",1990,1.50066,"18",1
"AFG",1995,1.45233,"18",1
"AFG",2000,1.36787,"18",1
"AFG",2005,0.84382,"18",1
"AFG",2010,1.51483,"18",1
"AFG",2015,2.35694,"18",1
"AFG",2018,2.2353,"18",1
"AFG",1990,69.41975,"22",1
"AFG",1995,69.35614,"22",1
"AFG",2000,69.35882,"22",1
"AFG",2005,69.23362,"22",1
"AFG",2010,69.02496,"22",1
"AFG",2015,69.30243,"22",1
"AFG",2018,69.3541,"22",1
"AFG",1990,48.11483,"23",1
"AFG",1995,52.85987,"23",1
"AFG",2000,52.42255,"23",1
"AFG",2005,46.84778,"23",1
"AFG",2010,53.97413,"23",1
"AFG",2015,58.15652,"23",1
"AFG",2018,58.00001,"23",1
