"iso3","year","median","varnum","income"
"AFG",1990,76.64048,"01",1
"AFG",1995,60.21449,"01",1
"AFG",2000,53.65416,"01",1
"AFG",2005,49.16493,"01",1
"AFG",2010,61.05328,"01",1
"AFG",2015,83.05482,"01",1
"AFG",2018,65.69704,"01",1
"AFG",1990,153.4587,"02",1
"AFG",1995,110.33042,"02",1
"AFG",2000,120.75993,"02",1
"AFG",2005,154.65259,"02",1
"AFG",2010,148.34858,"02",1
"AFG",2015,108.80493,"02",1
"AFG",2018,98.08012,"02",1
"AFG",1990,63.04754,"03",1
"AFG",1995,33.06976,"03",1
"AFG",2000,27.94092,"03",1
"AFG",2005,34.1793,"03",1
"AFG",2010,14.34467,"03",1
"AFG",2015,16.25495,"03",1
"AFG",2018,21.19581,"03",1
"AFG",1990,48.97887,"04",1
"AFG",1995,59.35273,"04",1
"AFG",2000,63.13716,"04",1
"AFG",2005,51.61297,"04",1
"AFG",2010,50.9815,"04",1
"AFG",2015,41.96336,"04",1
"AFG",2018,44.89214,"04",1
"AFG",1990,83.3171,"05",1
"AFG",1995,71.77573,"05",1
"AFG",2000,42.38143,"05",1
"AFG",2005,60.32242,"05",1
"AFG",2010,104.54599,"05",1
"AFG",2015,106.0859,"05",1
"AFG",2018,103.83027,"05",1
"AFG",1990,7.76335,"06",1
"AFG",1995,3.94648,"06",1
"AFG",2000,2.48946,"06",1
"AFG",2005,2.40164,"06",1
"AFG",2010,14.51036,"06",1
"AFG",2015,3.05146,"06",1
"AFG",2018,31.20569,"06",1
"AFG",1990,347.78258,"07",1
"AFG",1995,364.57289,"07",1
"AFG",2000,365.4305,"07",1
"AFG",2005,366.43509,"07",1
"AFG",2010,326.17933,"07",1
"AFG",2015,225.6406,"07",1
"AFG",2018,223.16891,"07",1
"AFG",1990,166.27624,"08",1
"AFG",1995,144.82661,"08",1
"AFG",2000,71.41582,"08",1
"AFG",2005,48.84471,"08",1
"AFG",2010,52.12332,"08",1
"AFG",2015,44.59102,"08",1
"AFG",2018,41.52892,"08",1
"AFG",1990,3.00882,"09",1
"AFG",1995,2.65536,"09",1
"AFG",2000,2.84124,"09",1
"AFG",2005,2.88774,"09",1
"AFG",2010,3.10731,"09",1
"AFG",2015,3.37118,"09",1
"AFG",2018,2.23832,"09",1
"AFG",1990,38.30502,"10",1
"AFG",1995,24.39129,"10",1
"AFG",2000,23.75321,"10",1
"AFG",2005,16.87635,"10",1
"AFG",2010,15.15268,"10",1
"AFG",2015,11.12522,"10",1
"AFG",2018,8.68613,"10",1
"AFG",1990,3.08559,"11",1
"AFG",1995,3.11869,"11",1
"AFG",2000,3.15769,"11",1
"AFG",2005,3.20864,"11",1
"AFG",2010,3.28292,"11",1
"AFG",2015,3.23663,"11",1
"AFG",2018,3.23368,"11",1
"AFG",1990,6.12125,"12",1
"AFG",1995,3.69854,"12",1
"AFG",2000,3.31539,"12",1
"AFG",2005,4.39817,"12",1
"AFG",2010,5.71977,"12",1
"AFG",2015,9.36667,"12",1
"AFG",2018,8.14198,"12",1
"AFG",1990,0.79087,"13",1
"AFG",1995,0.63601,"13",1
"AFG",2000,0.70542,"13",1
"AFG",2005,0.60394,"13",1
"AFG",2010,0.61634,"13",1
"AFG",2015,0.58012,"13",1
"AFG",2018,0.58579,"13",1
"AFG",1990,11.01195,"14",1
"AFG",1995,10.74512,"14",1
"AFG",2000,11.71825,"14",1
"AFG",2005,11.72804,"14",1
"AFG",2010,12.54381,"14",1
"AFG",2015,10.35369,"14",1
"AFG",2018,10.29935,"14",1
"AFG",1990,7.10665,"15",1
"AFG",1995,4.15648,"15",1
"AFG",2000,5.22051,"15",1
"AFG",2005,45.59546,"15",1
"AFG",2010,104.57355,"15",1
"AFG",2015,73.73362,"15",1
"AFG",2018,88.69009,"15",1
"AFG",1990,3.68676,"16",1
"AFG",1995,4.21088,"16",1
"AFG",2000,4.82136,"16",1
"AFG",2005,5.34939,"16",1
"AFG",2010,5.70292,"16",1
"AFG",2015,3.7634,"16",1
"AFG",2018,3.95344,"16",1
"AFG",1990,0.5358,"17",1
"AFG",1995,0.54145,"17",1
"AFG",2000,0.53499,"17",1
"AFG",2005,0.54025,"17",1
"AFG",2010,0.54518,"17",1
"AFG",2015,0.55605,"17",1
"AFG",2018,0.56111,"17",1
"AFG",1990,1.13517,"18",1
"AFG",1995,1.09912,"18",1
"AFG",2000,1.02979,"18",1
"AFG",2005,0.63618,"18",1
"AFG",2010,1.14252,"18",1
"AFG",2015,1.81176,"18",1
"AFG",2018,1.72183,"18",1
"AFG",1990,67.52088,"22",1
