"iso3","year","median","varnum","income"
"AFG",1990,134.24507,"01",1
"AFG",1995,102.46747,"01",1
"AFG",2000,88.86964,"01",1
"AFG",2005,78.96095,"01",1
"AFG",2010,94.15087,"01",1
"AFG",2015,145.58668,"01",1
"AFG",2018,115.26114,"01",1
"AFG",1990,180.84475,"02",1
"AFG",1995,129.15363,"02",1
"AFG",2000,140.35093,"02",1
"AFG",2005,177.73341,"02",1
"AFG",2010,168.64137,"02",1
"AFG",2015,126.22474,"02",1
"AFG",2018,114.15017,"02",1
"AFG",1990,56.35924,"03",1
"AFG",1995,29.74021,"03",1
"AFG",2000,25.11991,"03",1
"AFG",2005,30.62538,"03",1
"AFG",2010,12.88031,"03",1
"AFG",2015,14.71861,"03",1
"AFG",2018,18.95875,"03",1
"AFG",1990,69.85798,"04",1
"AFG",1995,82.82254,"04",1
"AFG",2000,85.37704,"04",1
"AFG",2005,69.52832,"04",1
"AFG",2010,66.67588,"04",1
"AFG",2015,59.91865,"04",1
"AFG",2018,63.78961,"04",1
"AFG",1990,114.1777,"05",1
"AFG",1995,97.3954,"05",1
"AFG",2000,57.31535,"05",1
"AFG",2005,79.81929,"05",1
"AFG",2010,133.21793,"05",1
"AFG",2015,142.06517,"05",1
"AFG",2018,139.33695,"05",1
"AFG",1990,10.36453,"06",1
"AFG",1995,5.34784,"06",1
"AFG",2000,3.26513,"06",1
"AFG",2005,3.18711,"06",1
"AFG",2010,18.55316,"06",1
"AFG",2015,4.1528,"06",1
"AFG",2018,39.90338,"06",1
"AFG",1990,388.88579,"07",1
"AFG",1995,403.12019,"07",1
"AFG",2000,405.17884,"07",1
"AFG",2005,405.33709,"07",1
"AFG",2010,359.46603,"07",1
"AFG",2015,251.51718,"07",1
"AFG",2018,250.24279,"07",1
"AFG",1990,174.81281,"08",1
"AFG",1995,156.57167,"08",1
"AFG",2000,83.76099,"08",1
"AFG",2005,57.95408,"08",1
"AFG",2010,61.36564,"08",1
"AFG",2015,54.92786,"08",1
"AFG",2018,51.24674,"08",1
"AFG",1990,3.36349,"09",1
"AFG",1995,2.96793,"09",1
"AFG",2000,3.13609,"09",1
"AFG",2005,3.13567,"09",1
"AFG",2010,3.30551,"09",1
"AFG",2015,3.79317,"09",1
"AFG",2018,2.49289,"09",1
"AFG",1990,57.9244,"10",1
"AFG",1995,36.57115,"10",1
"AFG",2000,34.46637,"10",1
"AFG",2005,24.09818,"10",1
"AFG",2010,20.96132,"10",1
"AFG",2015,16.87975,"10",1
"AFG",2018,13.19741,"10",1
"AFG",1990,4.0645,"11",1
"AFG",1995,4.06441,"11",1
"AFG",2000,4.04572,"11",1
"AFG",2005,4.07225,"11",1
"AFG",2010,4.12855,"11",1
"AFG",2015,4.22697,"11",1
"AFG",2018,4.27717,"11",1
"AFG",1990,10.5217,"12",1
"AFG",1995,6.15296,"12",1
"AFG",2000,5.29116,"12",1
"AFG",2005,6.86796,"12",1
"AFG",2010,8.51997,"12",1
"AFG",2015,16.07341,"12",1
"AFG",2018,13.85142,"12",1
"AFG",1990,1.10807,"13",1
"AFG",1995,0.89869,"13",1
"AFG",2000,0.95869,"13",1
"AFG",2005,0.80827,"13",1
"AFG",2010,0.81001,"13",1
"AFG",2015,0.81889,"13",1
"AFG",2018,0.83434,"13",1
"AFG",1990,28.6537,"14",1
"AFG",1995,26.92335,"14",1
"AFG",2000,27.87469,"14",1
"AFG",2005,26.21717,"14",1
"AFG",2010,26.76074,"14",1
"AFG",2015,27.24947,"14",1
"AFG",2018,27.04684,"14",1
"AFG",1990,14.96138,"15",1
"AFG",1995,8.47,"15",1
"AFG",2000,10.04215,"15",1
"AFG",2005,84.85956,"15",1
"AFG",2010,182.47943,"15",1
"AFG",2015,156.62088,"15",1
"AFG",2018,188.3715,"15",1
"AFG",1990,12.1006,"16",1
"AFG",1995,12.78622,"16",1
"AFG",2000,13.39665,"16",1
"AFG",2005,13.95526,"16",1
"AFG",2010,13.48926,"16",1
"AFG",2015,12.46892,"16",1
"AFG",2018,12.88577,"16",1
"AFG",1990,0.55334,"17",1
"AFG",1995,0.55767,"17",1
"AFG",2000,0.5469,"17",1
"AFG",2005,0.54568,"17",1
"AFG",2010,0.55463,"17",1
"AFG",2015,0.56458,"17",1
"AFG",2018,0.57812,"17",1
"AFG",1990,1.18893,"18",1
"AFG",1995,1.143,"18",1
"AFG",2000,1.06911,"18",1
"AFG",2005,0.65737,"18",1
"AFG",2010,1.17786,"18",1
"AFG",2015,1.89415,"18",1
"AFG",2018,1.80021,"18",1
"AFG",1990,65.73263,"22",1
"AFG",1995,65.81831,"22",1
"AFG",2000,65.80106,"22",1
"AFG",2005,65.67343,"22",1
"AFG",2010,65.64467,"22",1
"AFG",2015,65.65678,"22",1
"AFG",2018,65.73554,"22",1
"AFG",1990,48.96945,"23",1
"AFG",1995,53.7524,"23",1
"AFG",2000,52.9719,"23",1
"AFG",2005,47.43432,"23",1
"AFG",2010,55.0435,"23",1
"AFG",2015,60.33058,"23",1
"AFG",2018,60.56273,"23",1
"AFG",1990,8.91412,"27",1
"AFG",1995,8.74553,"27",1
"AFG",2000,8.61719,"27",1
"AFG",2005,8.63853,"27",1
"AFG",2010,8.60494,"27",1
"AFG",2015,8.52101,"27",1
"AFG",2018,8.4415,"27",1
"AFG",1990,5.35109,"28",1
"AFG",1995,5.31685,"28",1
"AFG",2000,5.28606,"28",1
"AFG",2005,5.34903,"28",1
"AFG",2010,5.4043,"28",1
"AFG",2015,5.32593,"28",1
"AFG",2018,5.31494,"28",1
"AFG",1990,2.61841,"29",1
"AFG",1995,2.61733,"29",1
"AFG",2000,2.62391,"29",1
"AFG",2005,2.63005,"29",1
"AFG",2010,2.63138,"29",1
"AFG",2015,2.63335,"29",1
"AFG",2018,2.63241,"29",1
"AFG",1990,2.05856,"30",1
"AFG",1995,2.06354,"30",1
"AFG",2000,2.09087,"30",1
"AFG",2005,2.23222,"30",1
"AFG",2010,2.2258,"30",1
"AFG",2015,2.33863,"30",1
"AFG",2018,2.3423,"30",1
"AFG",1990,816.04151,"31",1
"AFG",1995,784.53245,"31",1
"AFG",2000,774.20466,"31",1
"AFG",2005,795.61353,"31",1
"AFG",2010,896.13731,"31",1
"AFG",2015,822.21566,"31",1
"AFG",2018,944.76156,"31",1
"AFG",1990,196.95658,"33",1
"AFG",1995,159.54406,"33",1
"AFG",2000,154.19558,"33",1
"AFG",2005,134.91767,"33",1
"AFG",2010,127.64831,"33",1
"AFG",2015,119.91972,"33",1
"AFG",2018,107.92556,"33",1
"AFG",1990,56.31829,"34",1
"AFG",1995,49.19007,"34",1
"AFG",2000,47.37035,"34",1
"AFG",2005,47.81137,"34",1
"AFG",2010,45.98582,"34",1
"AFG",2015,49.61108,"34",1
"AFG",2018,47.97584,"34",1
"AFG",1990,0.00196,"35",1
"AFG",1995,9e-05,"35",1
"AFG",2000,0.00022,"35",1
"AFG",2005,1.5604,"35",1
"AFG",2010,10.79622,"35",1
"AFG",2015,8.08942,"35",1
"AFG",2018,11.66812,"35",1
"AFG",1990,443.95877,"36",1
"AFG",1995,448.95803,"36",1
"AFG",2000,449.08167,"36",1
"AFG",2005,455.72786,"36",1
"AFG",2010,472.81331,"36",1
"AFG",2015,477.48249,"36",1
"AFG",2018,480.94705,"36",1
"AFG",1990,2573.09179,"37",1
"AFG",1995,2577.41595,"37",1
"AFG",2000,2569.85078,"37",1
"AFG",2005,2595.42802,"37",1
"AFG",2010,2623.2178,"37",1
"AFG",2015,2654.79984,"37",1
"AFG",2018,2688.28516,"37",1
"AFG",1990,76.90133,"38",1
"AFG",1995,70.23082,"38",1
"AFG",2000,66.75125,"38",1
"AFG",2005,71.53773,"38",1
"AFG",2010,74.70446,"38",1
"AFG",2015,85.25349,"38",1
"AFG",2018,82.1087,"38",1
"AFG",1990,24.7641,"39",1
"AFG",1995,23.78005,"39",1
"AFG",2000,21.57476,"39",1
"AFG",2005,21.10461,"39",1
"AFG",2010,19.88192,"39",1
"AFG",2015,20.4894,"39",1
"AFG",2018,18.68068,"39",1
"AFG",1990,184.01864,"40",1
"AFG",1995,190.54225,"40",1
"AFG",2000,200.38358,"40",1
"AFG",2005,213.26211,"40",1
"AFG",2010,229.65197,"40",1
"AFG",2015,235.48823,"40",1
"AFG",2018,237.52419,"40",1
"AFG",1990,1886.9658,"41",1
"AFG",1995,1920.56561,"41",1
"AFG",2000,1974.71085,"41",1
"AFG",2005,2039.27213,"41",1
"AFG",2010,2109.96482,"41",1
"AFG",2015,2142.0839,"41",1
"AFG",2018,2150.76123,"41",1
"AFG",1990,73.48546,"42",1
"AFG",1995,75.05971,"42",1
"AFG",2000,75.85635,"42",1
"AFG",2005,76.85223,"42",1
"AFG",2010,77.36438,"42",1
"AFG",2015,77.94704,"42",1
"AFG",2018,78.72411,"42",1
"AFG",1990,135.7607,"43",1
"AFG",1995,140.9358,"43",1
"AFG",2000,170.28615,"43",1
"AFG",2005,174.90843,"43",1
"AFG",2010,231.60743,"43",1
"AFG",2015,208.29014,"43",1
"AFG",2018,308.05657,"43",1
"AFG",1990,1.01983,"45",1
"AFG",1995,1.0241,"45",1
"AFG",2000,1.02434,"45",1
"AFG",2005,1.04048,"45",1
"AFG",2010,1.06242,"45",1
"AFG",2015,1.08153,"45",1
"AFG",2018,1.09583,"45",1
"AFG",1990,1.00182,"46",1
"AFG",1995,0.99978,"46",1
"AFG",2000,0.99763,"46",1
"AFG",2005,1.01627,"46",1
"AFG",2010,1.03101,"46",1
"AFG",2015,1.0365,"46",1
"AFG",2018,1.0396,"46",1
"AFG",1990,11.0879,"47",1
"AFG",1995,11.11693,"47",1
"AFG",2000,11.77889,"47",1
"AFG",2005,12.67075,"47",1
"AFG",2010,13.6751,"47",1
"AFG",2015,13.89151,"47",1
"AFG",2018,13.99904,"47",1
"AFG",1990,0.95929,"48",1
"AFG",1995,0.98972,"48",1
"AFG",2000,1.01299,"48",1
"AFG",2005,1.06018,"48",1
"AFG",2010,1.11166,"48",1
"AFG",2015,1.13478,"48",1
"AFG",2018,1.1427,"48",1
"AFG",1990,177.83906,"49",1
"AFG",1995,177.06317,"49",1
"AFG",2000,182.97815,"49",1
"AFG",2005,188.49419,"49",1
"AFG",2010,195.83348,"49",1
"AFG",2015,198.1848,"49",1
"AFG",2018,200.51668,"49",1
"AFG",1990,2.09392,"50",1
"AFG",1995,2.05619,"50",1
"AFG",2000,2.05265,"50",1
"AFG",2005,2.05802,"50",1
"AFG",2010,2.04025,"50",1
"AFG",2015,2.03653,"50",1
"AFG",2018,2.01807,"50",1
"AFG",1990,35.8644,"51",1
"AFG",1995,37.69844,"51",1
"AFG",2000,40.41386,"51",1
"AFG",2005,42.91703,"51",1
"AFG",2010,44.75006,"51",1
"AFG",2015,46.9383,"51",1
"AFG",2018,47.40059,"51",1
"AFG",1990,1.67467,"52",1
"AFG",1995,1.68304,"52",1
"AFG",2000,1.71053,"52",1
"AFG",2005,1.63381,"52",1
"AFG",2010,1.60273,"52",1
"AFG",2015,1.73615,"52",1
"AFG",2018,1.69478,"52",1
"AFG",1990,7.90332,"53",1
"AFG",1995,7.48966,"53",1
