"iso3","year","median","varnum","income"
"AFG",1990,78.15982,"01",1
"AFG",1995,61.42868,"01",1
"AFG",2000,54.75975,"01",1
"AFG",2005,50.12984,"01",1
"AFG",2010,62.13496,"01",1
"AFG",2015,84.74086,"01",1
"AFG",2018,67.04532,"01",1
"AFG",1990,155.18193,"02",1
"AFG",1995,111.15608,"02",1
"AFG",2000,120.74647,"02",1
"AFG",2005,155.51589,"02",1
"AFG",2010,148.74603,"02",1
"AFG",2015,109.00162,"02",1
"AFG",2018,98.10595,"02",1
"AFG",1990,60.48167,"03",1
"AFG",1995,31.68097,"03",1
"AFG",2000,27.12311,"03",1
"AFG",2005,32.91691,"03",1
"AFG",2010,13.89637,"03",1
"AFG",2015,15.66516,"03",1
"AFG",2018,20.50914,"03",1
"AFG",1990,50.90487,"04",1
"AFG",1995,62.0768,"04",1
"AFG",2000,65.02586,"04",1
"AFG",2005,53.91489,"04",1
"AFG",2010,52.94399,"04",1
"AFG",2015,43.52832,"04",1
"AFG",2018,46.47803,"04",1
"AFG",1990,80.04716,"05",1
"AFG",1995,68.42495,"05",1
"AFG",2000,40.35997,"05",1
"AFG",2005,57.57337,"05",1
"AFG",2010,100.8182,"05",1
"AFG",2015,101.41616,"05",1
"AFG",2018,100.30943,"05",1
"AFG",1990,7.73266,"06",1
"AFG",1995,3.9503,"06",1
"AFG",2000,2.46026,"06",1
"AFG",2005,2.41061,"06",1
"AFG",2010,14.53014,"06",1
"AFG",2015,3.04523,"06",1
"AFG",2018,31.37036,"06",1
"AFG",1990,332.41299,"07",1
"AFG",1995,348.94574,"07",1
"AFG",2000,346.37634,"07",1
"AFG",2005,350.29003,"07",1
"AFG",2010,310.52822,"07",1
"AFG",2015,212.42551,"07",1
"AFG",2018,210.35858,"07",1
"AFG",1990,166.49964,"08",1
"AFG",1995,144.7995,"08",1
"AFG",2000,70.41859,"08",1
"AFG",2005,48.16157,"08",1
"AFG",2010,51.63001,"08",1
"AFG",2015,43.96826,"08",1
"AFG",2018,41.43639,"08",1
"AFG",1990,2.75749,"09",1
"AFG",1995,2.42812,"09",1
"AFG",2000,2.59835,"09",1
"AFG",2005,2.63806,"09",1
"AFG",2010,2.83908,"09",1
"AFG",2015,3.07007,"09",1
"AFG",2018,2.04303,"09",1
"AFG",1990,39.83628,"10",1
"AFG",1995,25.27453,"10",1
"AFG",2000,24.63093,"10",1
"AFG",2005,17.62326,"10",1
"AFG",2010,15.77357,"10",1
"AFG",2015,11.55236,"10",1
"AFG",2018,9.04806,"10",1
"AFG",1990,3.23471,"11",1
"AFG",1995,3.24364,"11",1
"AFG",2000,3.302,"11",1
"AFG",2005,3.36047,"11",1
"AFG",2010,3.43451,"11",1
"AFG",2015,3.37209,"11",1
"AFG",2018,3.39883,"11",1
"AFG",1990,6.28662,"12",1
"AFG",1995,3.77568,"12",1
"AFG",2000,3.38427,"12",1
"AFG",2005,4.5061,"12",1
"AFG",2010,5.84583,"12",1
"AFG",2015,9.59636,"12",1
"AFG",2018,8.34487,"12",1
"AFG",1990,0.79713,"13",1
"AFG",1995,0.65108,"13",1
"AFG",2000,0.72115,"13",1
"AFG",2005,0.6178,"13",1
"AFG",2010,0.63117,"13",1
"AFG",2015,0.58782,"13",1
"AFG",2018,0.59236,"13",1
"AFG",1990,11.39193,"14",1
"AFG",1995,11.14968,"14",1
"AFG",2000,12.195,"14",1
"AFG",2005,12.14432,"14",1
"AFG",2010,13.09054,"14",1
"AFG",2015,10.69221,"14",1
"AFG",2018,10.63973,"14",1
"AFG",1990,6.73967,"15",1
"AFG",1995,3.96086,"15",1
"AFG",2000,4.97924,"15",1
"AFG",2005,43.61483,"15",1
"AFG",2010,99.8024,"15",1
"AFG",2015,70.9616,"15",1
"AFG",2018,84.85257,"15",1
"AFG",1990,3.75758,"16",1
"AFG",1995,4.32411,"16",1
"AFG",2000,4.98664,"16",1
"AFG",2005,5.53961,"16",1
"AFG",2010,5.87589,"16",1
"AFG",2015,3.89889,"16",1
"AFG",2018,4.07661,"16",1
"AFG",1990,0.53845,"17",1
"AFG",1995,0.54486,"17",1
"AFG",2000,0.5291,"17",1
"AFG",2005,0.53592,"17",1
"AFG",2010,0.54479,"17",1
"AFG",2015,0.54713,"17",1
"AFG",2018,0.55647,"17",1
"AFG",1990,1.14589,"18",1
"AFG",1995,1.10773,"18",1
"AFG",2000,1.03735,"18",1
"AFG",2005,0.63988,"18",1
"AFG",2010,1.14934,"18",1
"AFG",2015,1.82045,"18",1
"AFG",2018,1.73483,"18",1
"AFG",1990,68.81372,"22",1
"AFG",1995,68.82854,"22",1
"AFG",2000,68.73337,"22",1
"AFG",2005,68.59138,"22",1
"AFG",2010,68.41994,"22",1
"AFG",2015,68.81197,"22",1
"AFG",2018,68.85229,"22",1
"AFG",1990,47.44181,"23",1
"AFG",1995,52.06584,"23",1
"AFG",2000,51.33439,"23",1
"AFG",2005,45.95867,"23",1
"AFG",2010,53.47374,"23",1
"AFG",2015,58.60748,"23",1
"AFG",2018,58.36174,"23",1
"AFG",1990,7.98249,"27",1
"AFG",1995,7.8883,"27",1
"AFG",2000,7.8131,"27",1
"AFG",2005,7.91356,"27",1
"AFG",2010,7.98042,"27",1
"AFG",2015,7.69466,"27",1
"AFG",2018,7.59826,"27",1
"AFG",1990,4.95968,"28",1
"AFG",1995,4.93413,"28",1
"AFG",2000,4.9856,"28",1
"AFG",2005,5.05195,"28",1
"AFG",2010,5.12091,"28",1
"AFG",2015,4.94638,"28",1
"AFG",2018,4.94351,"28",1
"AFG",1990,2.61018,"29",1
"AFG",1995,2.6092,"29",1
"AFG",2000,2.61356,"29",1
"AFG",2005,2.623,"29",1
"AFG",2010,2.62597,"29",1
"AFG",2015,2.62239,"29",1
"AFG",2018,2.62435,"29",1
"AFG",1990,2.04927,"30",1
"AFG",1995,2.1067,"30",1
"AFG",2000,2.19642,"30",1
"AFG",2005,2.36447,"30",1
"AFG",2010,2.40907,"30",1
"AFG",2015,2.32984,"30",1
"AFG",2018,2.35568,"30",1
"AFG",1990,800.11114,"31",1
"AFG",1995,768.67278,"31",1
"AFG",2000,765.18106,"31",1
"AFG",2005,789.13628,"31",1
"AFG",2010,880.03084,"31",1
"AFG",2015,797.25535,"31",1
"AFG",2018,930.25442,"31",1
"AFG",1990,127.79827,"33",1
"AFG",1995,105.70714,"33",1
"AFG",2000,105.25104,"33",1
"AFG",2005,93.39926,"33",1
"AFG",2010,91.85597,"33",1
"AFG",2015,77.22112,"33",1
"AFG",2018,69.71065,"33",1
"AFG",1990,54.65587,"34",1
"AFG",1995,47.21243,"34",1
"AFG",2000,45.23974,"34",1
"AFG",2005,45.38583,"34",1
"AFG",2010,43.67745,"34",1
"AFG",2015,47.35826,"34",1
"AFG",2018,45.72666,"34",1
"AFG",1990,0.00263,"35",1
"AFG",1995,0.00013,"35",1
"AFG",2000,0.00031,"35",1
"AFG",2005,1.97163,"35",1
"AFG",2010,13.08432,"35",1
"AFG",2015,9.9632,"35",1
"AFG",2018,13.93694,"35",1
"AFG",1990,409.96841,"36",1
"AFG",1995,417.22384,"36",1
"AFG",2000,416.91128,"36",1
"AFG",2005,426.18967,"36",1
"AFG",2010,446.3496,"36",1
"AFG",2015,443.07144,"36",1
"AFG",2018,443.45522,"36",1
"AFG",1990,2982.27007,"37",1
"AFG",1995,2977.68976,"37",1
"AFG",2000,2957.60968,"37",1
"AFG",2005,2960.7997,"37",1
"AFG",2010,2979.55941,"37",1
"AFG",2015,3080.39349,"37",1
"AFG",2018,3100.74767,"37",1
"AFG",1990,71.19935,"38",1
"AFG",1995,65.71072,"38",1
"AFG",2000,62.96234,"38",1
"AFG",2005,66.27524,"38",1
"AFG",2010,69.88389,"38",1
"AFG",2015,77.40254,"38",1
"AFG",2018,75.87996,"38",1
"AFG",1990,24.24377,"39",1
"AFG",1995,23.29939,"39",1
"AFG",2000,21.12853,"39",1
