"iso3","year","median","varnum","income"
"AFG",1990,97.71101,"01",1
"AFG",1995,76.57387,"01",1
"AFG",2000,68.21748,"01",1
"AFG",2005,62.45987,"01",1
"AFG",2010,77.10706,"01",1
"AFG",2015,104.98346,"01",1
"AFG",2018,83.10559,"01",1
"AFG",1990,158.47635,"02",1
"AFG",1995,114.5575,"02",1
"AFG",2000,124.3389,"02",1
"AFG",2005,159.29769,"02",1
"AFG",2010,151.38311,"02",1
"AFG",2015,111.61276,"02",1
"AFG",2018,100.18431,"02",1
"AFG",1990,62.90478,"03",1
"AFG",1995,32.88598,"03",1
"AFG",2000,28.09264,"03",1
"AFG",2005,34.21521,"03",1
"AFG",2010,14.3655,"03",1
"AFG",2015,16.40459,"03",1
"AFG",2018,21.29658,"03",1
"AFG",1990,56.65841,"04",1
"AFG",1995,68.31948,"04",1
"AFG",2000,71.93814,"04",1
"AFG",2005,58.5931,"04",1
"AFG",2010,57.7935,"04",1
"AFG",2015,48.15848,"04",1
"AFG",2018,50.96769,"04",1
"AFG",1990,83.46949,"05",1
"AFG",1995,71.50346,"05",1
"AFG",2000,42.4076,"05",1
"AFG",2005,60.72124,"05",1
"AFG",2010,103.91563,"05",1
"AFG",2015,105.75001,"05",1
"AFG",2018,103.4269,"05",1
"AFG",1990,12.37177,"06",1
"AFG",1995,6.34176,"06",1
"AFG",2000,3.91342,"06",1
"AFG",2005,3.82992,"06",1
"AFG",2010,22.4295,"06",1
"AFG",2015,4.75907,"06",1
"AFG",2018,45.31048,"06",1
"AFG",1990,306.81475,"07",1
"AFG",1995,322.29925,"07",1
"AFG",2000,322.53717,"07",1
"AFG",2005,322.78554,"07",1
"AFG",2010,285.61007,"07",1
"AFG",2015,197.47939,"07",1
"AFG",2018,194.52057,"07",1
"AFG",1990,181.04368,"08",1
"AFG",1995,166.76951,"08",1
"AFG",2000,96.01505,"08",1
"AFG",2005,68.47208,"08",1
"AFG",2010,72.76023,"08",1
"AFG",2015,62.72467,"08",1
"AFG",2018,59.1591,"08",1
"AFG",1990,0.78195,"09",1
"AFG",1995,0.70384,"09",1
"AFG",2000,0.75521,"09",1
"AFG",2005,0.76155,"09",1
"AFG",2010,0.81796,"09",1
"AFG",2015,0.89411,"09",1
"AFG",2018,0.60586,"09",1
"AFG",1990,59.52293,"10",1
