"iso3","year","median","varnum"
"AFG",1990,76.64048,"01"
"AFG",1995,60.21449,"01"
"AFG",2000,53.65416,"01"
"AFG",2005,49.16493,"01"
"AFG",2010,61.05328,"01"
"AFG",2015,83.05482,"01"
"AFG",2018,65.69704,"01"
"AGO",1990,44.29298,"01"
"AGO",1995,42.417,"01"
"AGO",2000,37.29474,"01"
"AGO",2005,78.69013,"01"
"AGO",2010,118.95547,"01"
"AGO",2015,126.26329,"01"
"AGO",2018,119.74698,"01"
"ALB",1990,18.01199,"01"
"ALB",1995,24.22179,"01"
"ALB",2000,49.1234,"01"
"ALB",2005,80.42781,"01"
"ALB",2010,111.3112,"01"
"ALB",2015,130.48483,"01"
"ALB",2018,138.87436,"01"
"ARE",1990,121.69271,"01"
"ARE",1995,119.49508,"01"
"ARE",2000,113.3846,"01"
"ARE",2005,83.93152,"01"
"ARE",2010,89.70148,"01"
"ARE",2015,120.24734,"01"
"ARE",2018,107.57782,"01"
"ARG",1990,91.03609,"01"
"ARG",1995,95.81821,"01"
"ARG",2000,97.52277,"01"
"ARG",2005,97.24322,"01"
"ARG",2010,97.48875,"01"
"ARG",2015,94.45945,"01"
"ARG",2018,93.99579,"01"
"ARM",1990,37.698,"01"
"ARM",1995,41.2489,"01"
"ARM",2000,27.64734,"01"
"ARM",2005,77.17402,"01"
"ARM",2010,48.00645,"01"
"ARM",2015,100.00313,"01"
"ARM",2018,91.23436,"01"
"ATG",1990,88.59254,"01"
"ATG",1995,90.7756,"01"
"ATG",2000,95.80779,"01"
"ATG",2005,105.19305,"01"
"ATG",2010,102.42814,"01"
"ATG",2015,92.62659,"01"
"ATG",2018,95.49188,"01"
"AUS",1990,135.28135,"01"
"AUS",1995,125.07336,"01"
"AUS",2000,140.31694,"01"
"AUS",2005,171.96642,"01"
"AUS",2010,155.96916,"01"
"AUS",2015,133.96617,"01"
"AUS",2018,131.919,"01"
"AUT",1990,99.57098,"01"
"AUT",1995,99.84122,"01"
"AUT",2000,101.34874,"01"
"AUT",2005,103.42849,"01"
"AUT",2010,104.40009,"01"
"AUT",2015,104.75925,"01"
"AUT",2018,105.7322,"01"
"AZE",1990,102.25744,"01"
"AZE",1995,96.72049,"01"
"AZE",2000,70.48834,"01"
"AZE",2005,69.91692,"01"
"AZE",2010,81.14355,"01"
"AZE",2015,97.07062,"01"
"AZE",2018,104.81839,"01"
"BDI",1990,75.77457,"01"
"BDI",1995,77.26551,"01"
"BDI",2000,74.94266,"01"
"BDI",2005,81.02132,"01"
"BDI",2010,82.83438,"01"
"BDI",2015,78.9943,"01"
"BDI",2018,73.83864,"01"
"BEL",1990,102.90334,"01"
"BEL",1995,104.24616,"01"
"BEL",2000,103.97058,"01"
"BEL",2005,104.92881,"01"
"BEL",2010,105.54693,"01"
"BEL",2015,103.53683,"01"
"BEL",2018,103.92745,"01"
"BEN",1990,57.565,"01"
"BEN",1995,56.56809,"01"
"BEN",2000,50.69395,"01"
"BEN",2005,61.37748,"01"
"BEN",2010,77.17554,"01"
"BEN",2015,68.54846,"01"
"BEN",2018,74.77897,"01"
"BFA",1990,33.26274,"01"
"BFA",1995,33.93264,"01"
"BFA",2000,34.80449,"01"
"BFA",2005,35.53426,"01"
"BFA",2010,36.57977,"01"
"BFA",2015,34.72039,"01"
"BFA",2018,34.77422,"01"
"BGD",1990,49.23879,"01"
"BGD",1995,51.50212,"01"
"BGD",2000,54.58157,"01"
"BGD",2005,58.51889,"01"
"BGD",2010,62.11876,"01"
"BGD",2015,54.62925,"01"
"BGD",2018,54.74779,"01"
"BGR",1990,94.21206,"01"
"BGR",1995,95.28829,"01"
"BGR",2000,94.53159,"01"
"BGR",2005,91.28762,"01"
"BGR",2010,92.13138,"01"
"BGR",2015,96.44254,"01"
"BGR",2018,95.89099,"01"
"BHR",1990,98.03837,"01"
"BHR",1995,107.39985,"01"
"BHR",2000,105.86312,"01"
"BHR",2005,104.84239,"01"
"BHR",2010,109.49436,"01"
"BHR",2015,123.80005,"01"
"BHR",2018,119.81356,"01"
"BHS",1990,67.24474,"01"
"BHS",1995,66.97049,"01"
"BHS",2000,83.85463,"01"
"BHS",2005,86.17604,"01"
"BHS",2010,84.55289,"01"
"BHS",2015,82.9364,"01"
"BHS",2018,83.68497,"01"
"BIH",1990,42.88547,"01"
"BIH",1995,57.92826,"01"
"BIH",2000,61.8422,"01"
