"iso3","result","income"
"AFG",1,1
"AGO",1,6
"ALB",2,6
"ARE",2,3
"ARG",3,2
"ARM",2,6
"ATG",3,6
"AUS",2,3
"AUT",2,3
"AZE",2,6
"BDI",1,1
"BEL",2,3
"BEN",1,1
"BFA",1,1
"BGD",1,6
"BGR",4,2
"BHR",3,6
"BHS",3,3
"BIH",2,6
"BLR",2,2
"BLZ",3,2
"BOL",3,2
"BRA",3,2
"BRB",3,6
"BRN",3,3
"BTN",1,6
"BWA",1,2
"CAF",1,1
"CAN",2,3
"CHE",2,3
"CHL",3,6
"CHN",3,6
"CMR",1,6
"COD",1,1
"COG",1,6
"COL",3,2
"COM",1,6
"CPV",1,2
"CRI",3,2
"CUB",3,2
"CYP",2,3
"CZE",2,6
"DEU",2,3
"DJI",4,2
"DMA",3,2
"DNK",2,3
"DOM",3,2
"DZA",3,2
"ECU",3,2
"EGY",3,6
"ERI",1,1
"ESP",2,3
"EST",4,6
"ETH",1,1
"FIN",2,3
"FJI",3,2
"FRA",2,3
"FSM",3,2
"GAB",1,2
"GBR",2,3
"GEO",2,6
"GHA",1,6
"GIN",1,1
"GMB",1,1
"GNB",1,1
"GRC",2,6
"GRD",3,2
"GTM",3,2
"GUY",3,6
"HND",3,6
"HRV",2,6
"HTI",1,1
"HUN",2,6
"IDN",1,6
"IND",1,6
"IRL",2,3
"IRN",3,2
"IRQ",3,2
"ISL",2,3
"ISR",4,3
"ITA",3,3
"JAM",3,2
"JOR",3,2
"JPN",2,3
"KAZ",2,2
"KEN",1,6
"KGZ",3,6
"KHM",1,6
"KIR",3,2
"KOR",3,6
"KWT",2,3
"LAO",1,6
"LBN",4,2
"LBR",1,1
"LBY",3,2
"LCA",3,2
"LKA",1,6
"LSO",1,6
"LTU",2,6
"LUX",2,3
"LVA",2,6
"MAR",3,2
"MDA",2,6
"MDG",1,1
"MDV",1,6
"MEX",3,2
"MHL",3,2
"MKD",2,2
"MLI",1,1
"MLT",2,6
"MMR",3,6
"MNG",4,6
"MOZ",1,1
"MRT",1,6
"MUS",3,2
"MWI",1,1
"MYS",3,2
"NAM",1,2
"NER",1,1
"NGA",1,6
"NIC",3,6
"NLD",2,3
"NOR",2,3
"NPL",1,1
"NZL",2,3
"OMN",3,6
"PAK",1,6
"PAN",3,6
"PER",3,2
"PHL",3,2
"POL",2,6
"PRT",2,6
"PRY",3,2
"PSE",4,2
"QAT",3,3
"ROU",2,2
"RUS",2,2
"RWA",1,1
"SAU",2,6
"SDN",1,6
"SEN",1,6
"SGP",3,3
"SLB",3,6
"SLE",1,1
"SLV",3,2
"STP",1,6
"SUR",3,2
"SVK",2,6
"SVN",2,6
"SWE",2,3
"SWZ",1,2
"SYC",1,6
"TCD",1,1
"TGO",1,1
"THA",3,2
"TJK",2,6
"TKM",2,2
"TON",3,2
"TTO",3,6
"TUN",3,2
"TUR",3,2
"TWN",3,3
"TZA",1,1
"UGA",1,1
"UKR",2,6
"URY",3,6
"USA",2,3
"UZB",2,6
"VCT",3,2
"VEN",3,2
"VNM",1,6
"VUT",3,2
"WSM",1,2
"YEM",1,6
"ZAF",3,2
"ZMB",1,6
