"iso3","result","income"
"AFG",1,1
"AGO",2,6
"ALB",3,6
"ARE",3,3
"ARG",4,2
"ARM",3,6
"ATG",4,6
"AUS",5,3
"AUT",5,3
"AZE",3,6
"BDI",2,1
"BEL",5,3
"BEN",2,1
"BFA",1,1
"BGD",1,6
"BGR",6,2
"BHR",4,6
"BHS",4,3
"BIH",3,6
"BLR",3,2
"BLZ",4,2
"BOL",4,2
"BRA",4,2
"BRB",4,6
"BRN",4,3
"BTN",1,6
"BWA",2,2
"CAF",2,1
"CAN",5,3
"CHE",5,3
"CHL",4,6
"CHN",4,6
"CMR",2,6
"COD",1,1
"COG",2,6
"COL",4,2
"COM",2,6
"CPV",2,2
"CRI",4,2
"CUB",4,2
"CYP",5,3
"CZE",3,6
"DEU",5,3
"DJI",1,2
"DMA",4,2
"DNK",5,3
"DOM",4,2
"DZA",4,2
"ECU",4,2
"EGY",4,6
"ERI",2,1
"ESP",5,3
"EST",6,6
"ETH",1,1
"FIN",5,3
"FJI",4,2
"FRA",5,3
"FSM",4,2
"GAB",2,2
"GBR",5,3
"GEO",3,6
"GHA",1,6
"GIN",2,1
"GMB",1,1
"GNB",2,1
"GRC",5,6
"GRD",4,2
"GTM",4,2
"GUY",4,6
"HND",4,6
"HRV",3,6
"HTI",2,1
"HUN",3,6
"IDN",2,6
"IND",1,6
"IRL",5,3
"IRN",4,2
"IRQ",3,2
"ISL",5,3
"ISR",6,3
"ITA",4,3
"JAM",4,2
"JOR",4,2
"JPN",3,3
"KAZ",3,2
"KEN",2,6
"KGZ",3,6
"KHM",2,6
"KIR",4,2
"KOR",4,6
"KWT",3,3
"LAO",1,6
"LBN",6,2
"LBR",2,1
"LBY",4,2
"LCA",4,2
"LKA",1,6
"LSO",2,6
"LTU",5,6
"LUX",5,3
"LVA",3,6
"MAR",4,2
"MDA",3,6
"MDG",2,1
"MDV",1,6
"MEX",4,2
"MHL",4,2
"MKD",3,2
"MLI",2,1
"MLT",5,6
"MMR",4,6
"MNG",6,6
"MOZ",1,1
"MRT",2,6
"MUS",4,2
"MWI",2,1
"MYS",1,2
"NAM",2,2
"NER",1,1
"NGA",2,6
"NIC",4,6
"NLD",5,3
"NOR",5,3
"NPL",1,1
"NZL",5,3
"OMN",4,6
"PAK",1,6
"PAN",4,6
"PER",4,2
"PHL",4,2
"POL",5,6
"PRT",5,6
"PRY",4,2
"PSE",6,2
"QAT",4,3
"ROU",3,2
"RUS",3,2
"RWA",1,1
"SAU",3,6
"SDN",2,6
"SEN",2,6
"SGP",4,3
"SLB",2,6
"SLE",2,1
"SLV",4,2
"STP",2,6
"SUR",4,2
"SVK",3,6
"SVN",3,6
"SWE",5,3
"SWZ",2,2
"SYC",2,6
"TCD",2,1
"TGO",2,1
"THA",4,2
"TJK",3,6
"TKM",3,2
"TON",4,2
"TTO",4,6
"TUN",4,2
"TUR",4,2
"TWN",4,3
"TZA",2,1
"UGA",2,1
"UKR",3,6
"URY",4,6
"USA",5,3
"UZB",3,6
"VCT",4,2
"VEN",4,2
"VNM",1,6
"VUT",4,2
"WSM",1,2
"YEM",2,6
"ZAF",4,2
"ZMB",2,6
